ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001212545-24-000061	1644456	Cash Settled Restricted Stock Units			F2				F3	15-FEB-2027		Common Stock		19416.0				19416.0				D			
0001127602-24-004597	1644323	Stock Option (Right to Buy)		155.34					F5	13-FEB-2030		Common Stock		23500.0				23500.0				D			
0001127602-24-004597	1644330	Performance Units			F4				F9		F9	Common Stock		3847.0				3847.0				D			
0001127602-24-004597	1644318	Stock Option (Right to Buy)		144.69					F5	12-FEB-2025		Common Stock		34000.0				34000.0				D			
0001127602-24-004597	1644319	Stock Option (Right to Buy)		138.03					F5	11-FEB-2026		Common Stock		35000.0				35000.0				D			
0001127602-24-004597	1644320	Stock Option (Right to Buy)		168.7					F5	09-FEB-2027		Common Stock		36000.0				36000.0				D			
0001127602-24-004597	1644321	Stock Option (Right to Buy)		161.18					F5	15-FEB-2028		Common Stock		26052.0				26052.0				D			
0001127602-24-004597	1644322	Stock Option (Right to Buy)		155.92					F5	14-FEB-2029		Common Stock		23500.0				23500.0				D			
0001127602-24-004597	1644331	Performance Units			F4				F10		F10	Common Stock		3586.0				3586.0				D			
0001127602-24-004597	1644324	Stock Option (Right to Buy)		189.89				11-FEB-2022	F6	11-FEB-2031		Common Stock		14986.0				14986.0				D			
0001127602-24-004597	1644325	Stock Option (Right to Buy)		211.67				10-FEB-2023	F6	10-FEB-2032		Common Stock		11252.0				11252.0				D			
0001127602-24-004597	1644326	Stock Option (Right to Buy)		249.26				09-FEB-2024	F6	09-FEB-2033		Common Stock		7850.0				7850.0				D			
0001127602-24-004597	1644327	Restricted Stock Units			F4			10-FEB-2025	F7	10-FEB-2025	F7	Common Stock		1924.0				1924.0				D			
0001127602-24-004597	1644328	Restricted Stock Units			F4			09-FEB-2026	F7	09-FEB-2026	F7	Common Stock		1793.0				1793.0				D			
0001127602-24-004597	1644329	Performance Units			F4				F8		F8	Common Stock		4673.0				4673.0				D			
0001415889-24-003416	1644677	Restricted Stock Units			F5				F5		F5	Common Stock		1194.0				1194.0				D			
0001415889-24-003416	1644676	Restricted Stock Units			F4				F4		F4	Common Stock		812.0				812.0				D			
0001212545-24-000059	1644636	Cash Settled Restricted Stock Units			F1				F2	15-FEB-2027		Common Stock		3624.0				3624.0				D			
0001127602-24-004594	1644597	Stock Option (Right to Buy)		155.92					F7	14-FEB-2029		Common Stock		1250.0				1250.0				D			
0001127602-24-004594	1644605	Performance Units			F4				F11		F11	Common Stock		573.0				573.0				D			
0001127602-24-004594	1644604	Performance Units			F4				F10		F10	Common Stock		410.0				410.0				D			
0001127602-24-004594	1644603	Restricted Stock Units			F4			09-FEB-2026	F9	09-FEB-2026	F9	Common Stock		315.0				315.0				D			
0001127602-24-004594	1644602	Restricted Stock Units			F4			10-FEB-2025	F9	10-FEB-2025	F9	Common Stock		286.0				286.0				D			
0001127602-24-004594	1644601	Stock Option (Right to Buy)		249.26				09-FEB-2024	F8	09-FEB-2033		Common Stock		1377.0				1377.0				D			
0001127602-24-004594	1644595	Stock Option (Right to Buy)		168.7					F7	09-FEB-2027		Common Stock		800.0				800.0				D			
0001127602-24-004594	1644596	Stock Option (Right to Buy)		161.18					F7	15-FEB-2028		Common Stock		1000.0				1000.0				D			
0001127602-24-004594	1644606	Performance Units			F4				F12		F12	Common Stock		629.0				629.0				D			
0001127602-24-004594	1644598	Stock Option (Right to Buy)		155.34					F7	13-FEB-2030		Common Stock		1300.0				1300.0				D			
0001127602-24-004594	1644599	Stock Option (Right to Buy)		189.89				11-FEB-2022	F8	11-FEB-2031		Common Stock		1316.0				1316.0				D			
